# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
717.3941 169.353583 2013.547113
717.4941 169.259013 2013.547113
717.5941 169.179156 2013.547113
717.6942 169.690984 2011.844582
717.7941 170.779558 2008.504787
717.8941 172.187864 2004.310200
717.9941 173.741860 1999.784579
718.0941 175.259569 1995.453715
718.1942 176.605000 1991.692579
718.2941 177.643140 1988.860790
718.3941 178.318975 1987.091070
718.4941 178.693537 1986.200872
718.5941 178.653743 1986.200872
718.6942 178.482280 1986.200872
718.7941 178.264433 1986.408038
718.8941 177.664489 1987.755871
718.9941 176.767325 1990.018969
719.0941 175.687007 1992.892735
719.1942 174.617534 1995.841122
719.2941 173.760919 1998.290188
719.3941 173.236132 1999.890310
719.4941 173.032200 2000.662710
719.5941 173.021114 2000.969223
719.6942 173.014947 2001.347674
719.7941 172.833564 2002.315497
719.8941 172.384935 2004.142632
719.9941 171.678234 2006.814708
720.0941 170.728381 2010.304654
720.1942 169.508521 2014.713822
720.2941 168.163592 2019.723861
720.3941 167.191960 2024.505042
720.4941 166.577634 2028.250227
720.5941 166.364049 2030.556609
720.6942 166.475407 2031.634328
720.7941 166.671276 2032.216063
720.8941 166.672730 2033.164713
720.9941 166.285103 2035.090507
721.0941 165.435217 2038.236733
721.1942 164.156084 2042.526990
721.2941 162.548651 2047.672442
721.3941 160.677995 2053.492922
721.4941 158.619068 2059.767880
721.5941 156.622880 2065.672598
721.6942 155.039255 2069.999288
721.7941 154.660522 2069.999288
721.8941 154.205756 2069.999288
721.9941 155.002527 2065.514709
722.0941 156.390038 2058.867938
722.1942 158.067914 2051.478644
722.2941 160.113468 2044.625290
722.3941 161.792584 2039.268841
722.4941 162.850924 2035.917752
722.5941 162.939491 2035.611632
722.6942 162.930282 2035.611632
722.7941 162.921305 2035.611632
722.8941 162.527561 2036.815575
722.9941 162.092041 2038.155031
723.0941 161.562749 2039.795341
723.1942 160.883680 2041.917671
723.2941 160.061844 2044.507194
723.3941 159.211240 2047.206372
723.4941 158.532860 2049.367620
723.5941 158.525708 2049.367620
723.6942 158.518781 2049.367620
723.7941 159.394085 2046.529105
723.8941 160.855620 2041.847911
723.9941 162.724380 2035.945877
724.0941 164.722691 2029.635560
724.1942 166.446423 2023.906950
724.2941 167.673697 2019.753887
724.3941 168.185311 2017.821735
724.4941 168.067127 2017.821735
724.5941 167.964216 2017.821735
724.6942 167.516540 2018.899005
724.7941 167.085182 2019.976153
724.8941 166.692126 2020.986899
724.9941 166.316310 2021.994141
725.0941 165.948767 2023.025087
725.1942 165.622498 2023.979766
725.2941 165.384508 2024.714735
725.3941 165.276782 2025.100977
725.4941 165.255333 2025.271405
725.5941 165.305159 2025.271405
725.6942 165.370296 2025.271405
725.7941 165.577674 2024.885001
725.8941 165.988501 2023.906950
725.9941 166.462206 2022.441267
726.0941 166.987372 2020.736986
726.1942 167.497795 2019.114805
726.2941 167.881500 2017.908409
726.3941 167.872479 2017.908409
726.4941 167.873718 2017.908409
726.5941 167.683226 2018.512653
726.6942 167.214016 2019.985166
726.7941 166.660063 2021.749639
726.8941 166.092358 2023.594593
726.9941 165.513939 2025.511952
727.0941 164.863789 2027.689454
727.1942 164.094946 2030.276068
727.2941 163.254336 2033.133676
727.3941 162.461947 2035.892754
727.4941 161.823870 2038.217878
727.5941 161.434061 2039.804805
727.6942 161.552587 2039.823734
727.7941 161.724090 2039.823734
727.8941 161.947525 2039.823734
727.9941 162.269437 2039.442164
728.0941 162.446653 2039.442164
728.1942 162.600242 2039.442164
728.2941 162.730060 2039.442164
728.3941 161.944128 2042.263475
728.4941 160.232562 2047.997399
728.5941 157.567300 2056.860099
728.6942 154.214352 2068.156348
728.7941 150.612691 2080.552649
728.8941 147.280340 2092.278755
728.9941 144.712296 2101.447980
729.0941 143.934556 2104.084964
729.1942 143.851070 2104.084964
729.2941 143.743931 2104.084964
729.3941 145.298162 2097.922449
729.4941 147.201639 2090.516542
729.5941 148.999421 2083.527069
729.6942 150.306448 2078.267290
729.7941 150.909138 2075.791236
729.8941 150.890672 2075.791236
729.9941 150.873920 2075.791236
730.0941 150.286892 2077.765362
730.1942 149.569582 2080.208000
